Country	Anbirthrate	Pop	muh	contact_rateh	infectious_period	iotah	Dcases	TestsP	latent_referece	latent_alpha	latent_beta	latent_delta	latent_future1	latent_future2	alpha_prop	beta_prop	delta_prop	future1_prop	future2_prop	epsilonh	sev_reduce	reference_trans	alpha_trans	beta_trans	delta_trans	future1_trans	future2_trans	sigmaSE	k_in	prop_pos_imm	infect_reduce	mort_reduce	epsilonh_reduce	infectious_period_reduce	epsilonhOmi	epsilonh40	epsilonh60	lenth_of_stay	pop_inf_factor	pop_inf_factor1	pop_inf_factor2	vulnerability	vulnerability1	pop_inf_factor3	pop_inf_factor4	vun_pop_infl_factor	True burden	prop_pop_imm_21_infected	Fully_vacc	prop_pop_imm_21	deathreported	k_inA
Kenya	0.027976	54985702	0.005448	2.25	10	27	5376	292237	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	1950	0.005314782	0.000512821	0.01416065	0.027980794	0.00302795	0.007413658	0.000726187	24226574	0.440597703	7.853	0.484527565	0.338612792	0.07853
South Africa	0.0197	60041996	0.0094	3.05	10	119	91061	3446540	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.12	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	5100	0.057402156	0.000196078	0.039676391	0.14487071	0.026627346	0.020088195	0.000777968	30333409	0.505203208	26.762	0.637620726	0.99	0.26762
Algeria	0.0215	44616626	0.0047	3.79	10	630	6275	218037	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.03	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	3290	0.0048869	0.000303951	0.031070324	0.000353576	0.002885299	0.016035162	0.000944387	19594780	0.439181125	12.791	0.510915467	0.327018106	0.12791
Angola	0.0398	33933611	0.0078	2.45	10	95	1765	76791	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.13	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	1395	0.002262978	0.000716846	0.01247277	0.010638428	0.003463705	0.008736385	0.000894105	14792564	0.43592661	12.261	0.505087648	0.135170093	0.12261
Benin	0.035293	12451031	0.0086	5.2	10	10	161	25361	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.45	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	243	0.002036859	0.004115226	0.016272083	0.005733187	0.010999797	0.018136041	0.00669633	5427175	0.435881575	10.882	0.497268942	0.125125299	0.10882
Botswana	0.0234	2397240	0.005848	2.12	10	1	2439	212482	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.1	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	150	0.088636098	0.006666667	0.025593449	0.139245913	0.045899117	0.017796724	0.017062299	1337147	0.557786037	43.968	0.752218672	0.99	0.43968
Burkina Faso	0.0368	21497097	0.0077	1.24	10	13	320	17632	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.455	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	510	0.000820204	0.001960784	0.012298635	0.003837301	0.005379912	0.011149318	0.002411497	9246522	0.430128868	3.106	0.447829065	0.050062151	0.03106
Ethiopia	0.0312	117876226	0.006262	1.99	10	20	6926	415447	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.09	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	5700	0.003524434	0.000175439	0.017845208	0.005944617	0.002582656	0.009922604	0.000313074	51611475	0.437844651	3.487	0.457447008	0.185494925	0.03487
Burundi	0.03749	12255429	0.0076	3.57	10	2	14	29919	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.38	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	178.48	0.002441285	0.005602869	0.013066751	0.005500546	0.010852112	0.016533375	0.007321129	5332997	0.435153841	0.037	0.435362834	0.140613446	0.00037
Cabo Verde	0.0184	561901	0.00554	8.44	10	55	356	40738	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.46	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	37	0.072500316	0.027027027	0.022370257	0.004187651	0.134261373	0.111185128	0.060460154	295548	0.525978776	46.036	0.744199186	0.99	0.46036
